beta_P3HTpara beta_P3HTperp delta_P3HT_para delta_P3HTperp delta_P3HT beta_P3HT energy_P3HT
0.000447868 0.000447868 0.001412772 0.001558831 0.001695561 0.000521104 273.5
0.000446637 0.000446637 0.001394694 0.001544389 0.001677508 0.000519672 273.8
0.000445411 0.000445411 0.001376269 0.001529657 0.001659086 0.000518244 274.1
0.000444188 0.000444188 0.001357279 0.001514695 0.001640276 0.000516823 274.4
0.000442971 0.000442971 0.001337883 0.001499421 0.001621057 0.000515406 274.7
0.000441757 0.000441757 0.00131787 0.00148389 0.001601407 0.000513994 275
0.000440548 0.000440548 0.001297376 0.001468021 0.0015813 0.000512587 275.3
0.000439343 0.000439343 0.001276198 0.001451861 0.001560708 0.000511184 275.6
0.000438142 0.000438142 0.00125445 0.001435334 0.001539603 0.000509787 275.9
0.000436945 0.000436945 0.001231937 0.001418478 0.001517952 0.000508395 276.2
0.000435753 0.000435753 0.001208749 0.001401223 0.001495722 0.000507007 276.5
0.000434564 0.000434564 0.001184717 0.001383613 0.001472895 0.000505625 276.8
0.00043332 0.000433326 0.001159881 0.001365568 0.001449419 0.000504182 277.1
0.000432013 0.000432034 0.001134 0.001347051 0.001425173 0.000502673 277.4
0.000430713 0.000430746 0.001107072 0.001327983 0.001400084 0.000501169 277.7
0.000429415 0.000429464 0.001078935 0.00130838 0.001374116 0.000499671 278
0.000428124 0.000428185 0.001049551 0.001288181 0.001347199 0.000498178 278.3
0.000426836 0.000426911 0.001018739 0.001267366 0.001319252 0.000496691 278.6
0.000425552 0.000425642 0.000986387 0.001245872 0.001290179 0.000495209 278.9
0.000424274 0.000424377 0.000952305 0.001223647 0.001259869 0.000493731 279.2
0.000423001 0.000423115 0.000916294 0.001200614 0.001228186 0.000492259 279.5
0.000421729 0.000421861 0.000878161 0.001176639 0.001194959 0.000490793 279.8
0.000420465 0.000420608 0.000837864 0.001151084 0.00115965 0.000489331 280.1
0.000417651 0.000422449 0.000793854 0.001126594 0.001123627 0.000489667 280.4
0.000416867 0.000418807 0.000745597 0.00110161 0.001085807 0.000486538 280.7
0.000417163 0.000416488 0.000695203 0.001072808 0.001044008 0.000484854 281
0.000413937 0.000416284 0.000639041 0.001043603 0.000999756 0.000483445 281.3
0.000414815 0.000413436 0.000575325 0.001012999 0.000951489 0.000481576 281.6
0.000421535 0.000411435 0.000511177 0.000978531 0.000899858 0.000482631 281.9
0.000414354 0.00041458 0.000438459 0.000944795 0.000845715 0.000482285 282.2
0.000415556 0.000411384 0.000349916 0.000910967 0.000785279 0.000480272 282.5
0.000418324 0.000408401 0.000251183 0.000872026 0.000716912 0.000479032 282.8
0.000417313 0.000407717 0.00017457 0.000845183 0.000666517 0.000478109 283
0.00041732 0.000407591 0.000169346 0.000843823 0.000663396 0.000478014 283.012
0.000417355 0.000407428 0.000163626 0.000842257 0.000660004 0.000477901 283.025
0.000417801 0.000407037 0.000157807 0.000840916 0.000656665 0.000477771 283.038
0.00041846 0.000406291 0.000152667 0.000839451 0.000653617 0.000477448 283.05
0.000419195 0.000405214 0.000147525 0.000837472 0.000650108 0.000476897 283.063
0.000419695 0.000404261 0.000143006 0.000835192 0.000646584 0.000476352 283.075
0.000419824 0.000403631 0.000138785 0.000832399 0.000642768 0.000475914 283.087
0.000419269 0.000403661 0.000134892 0.000828858 0.000638424 0.000475721 283.1
0.000415822 0.000405841 0.000128949 0.000825945 0.000633945 0.000476075 283.113
0.000415689 0.000407227 0.000121841 0.000825296 0.000630698 0.000477099 283.125
0.000413397 0.000408213 0.000114549 0.000824959 0.000627663 0.000476975 283.137
0.000418387 0.000405622 0.00010768 0.00082392 0.000624006 0.0004769 283.15
0.000418948 0.000405636 0.000103259 0.000821593 0.000620718 0.000477129 283.163
0.000415257 0.000405665 9.81E-05 0.000819542 0.000617155 0.00047572 283.175
0.000414036 0.000406353 8.94E-05 0.000818163 0.000612529 0.00047578 283.188
0.000417083 0.000405012 8.25E-05 0.000816307 0.000608462 0.000475921 283.2
0.000417157 0.000405744 7.74E-05 0.000813924 0.000604632 0.000476518 283.212
0.000415955 0.00040679 6.94E-05 0.000813122 0.000600863 0.000476863 283.225
0.000419644 0.000405357 6.23E-05 0.000812009 0.000597375 0.000477182 283.238
0.00041604 0.00040655 5.49E-05 0.000811311 0.000593965 0.00047671 283.25
0.000420975 0.000403949 4.75E-05 0.000810307 0.000590292 0.000476606 283.262
0.000425793 0.000400848 4.12E-05 0.000807939 0.000586076 0.00047607 283.275
0.000426504 0.000400401 3.75E-05 0.000803957 0.000581455 0.000475999 283.288
0.000429791 0.00039965 3.59E-05 0.00079982 0.000577617 0.000476691 283.3
0.000419494 0.000404193 3.05E-05 0.000797219 0.000573435 0.000476221 283.313
0.000423909 0.000402691 1.64E-05 0.000798803 0.000569497 0.000476769 283.325
0.000428842 0.000399589 1.30E-05 0.000795478 0.000565415 0.000476276 283.337
0.000426018 0.000402271 6.41E-06 0.000793008 0.000560777 0.00047726 283.35
0.00043205 0.000399817 1.48E-06 0.000790398 0.000557107 0.000477696 283.363
0.000432071 0.000399658 -1.23E-06 0.000787217 0.000553451 0.000477581 283.375
0.000428503 0.00040175 -5.95E-06 0.000784624 0.000549813 0.000477821 283.387
0.00042606 0.000402653 -9.97E-06 0.000782593 0.000546268 0.000477573 283.4
0.00041985 0.000403532 -2.15E-05 0.000781647 0.000541403 0.000475847 283.413
0.000420726 0.000404528 -3.22E-05 0.000781202 0.000537008 0.000476959 283.425
0.000424541 0.00040081 -4.31E-05 0.000780642 0.000532196 0.000475554 283.438
0.000429905 0.000399819 -4.73E-05 0.000776906 0.000527406 0.000476866 283.45
0.000428923 0.000400584 -5.27E-05 0.000774467 0.000523914 0.000477079 283.462
0.000422472 0.000402363 -6.18E-05 0.000773286 0.000519457 0.000475957 283.475
0.000433644 0.000396331 -6.83E-05 0.000769291 0.0005137 0.000475611 283.488
0.000426667 0.000401812 -7.19E-05 0.000765448 0.000509258 0.000477156 283.5
0.000422063 0.000403574 -8.28E-05 0.000766246 0.000505679 0.000476737 283.512
0.000424334 0.000400953 -9.65E-05 0.000766089 0.000500149 0.000475585 283.525
0.000431709 0.000398914 -0.000104901 0.000763217 0.000494805 0.000476864 283.538
0.000428221 0.000400604 -0.000112335 0.000761487 0.000490532 0.000476822 283.55
0.000437118 0.000396264 -0.000119464 0.000758605 0.000485773 0.000476907 283.563
0.00043481 0.000395864 -0.000125185 0.000754602 0.000480355 0.000475701 283.575
0.000434718 0.000398531 -0.00013168 0.000751294 0.000474912 0.000477734 283.587
