# betaPara  betaPerp  deltaPara  deltaPerp  beta  delta  energy
3.469576767617137862e-04 3.469576767617118347e-04 1.814816862756014112e-03 1.797043896781959794e-03 3.469576767617141657e-04 1.672540623884273157e-03 2.816676375038812239e+02
3.480960364305911783e-04 3.480960364305892268e-04 1.812346882029191057e-03 1.794668764156900215e-03 3.480960364305906362e-04 1.669448114204267379e-03 2.816919309445137287e+02
3.492339982962648355e-04 3.492339982962666244e-04 1.809864890686678929e-03 1.792284389403648540e-03 3.492339982962671665e-04 1.666336902598056658e-03 2.817162243851461767e+02
3.503715625137574538e-04 3.503715625137596222e-04 1.807370551428973647e-03 1.789890522937953718e-03 3.503715625137591885e-04 1.663206533157349188e-03 2.817405178257786815e+02
3.515087292380093841e-04 3.515087292380085710e-04 1.804863516537172276e-03 1.787486908330187347e-03 3.515087292380109020e-04 1.660056536588491770e-03 2.817648112664111864e+02
3.526454986238915885e-04 3.526454986238903959e-04 1.802343427545648278e-03 1.785073282166083552e-03 3.526454986238922390e-04 1.656886429792568931e-03 2.817891047070436343e+02
3.537818708262104647e-04 3.537818708262095973e-04 1.799809914907447416e-03 1.782649373898522252e-03 3.537818708262137715e-04 1.653695715429767243e-03 2.818133981476761392e+02
3.549178459996936430e-04 3.549178459996931551e-04 1.797262597621421742e-03 1.780214905683852366e-03 3.549178459996963535e-04 1.650483881445386413e-03 2.818376915883086440e+02
3.560534242989969798e-04 3.560534242989963835e-04 1.794701082830411692e-03 1.777769592196923451e-03 3.560534242989959498e-04 1.647250400559586644e-03 2.818619850289410920e+02
3.571886058787139898e-04 3.571886058787137187e-04 1.792124965406733262e-03 1.775313140443134270e-03 3.571886058787156161e-04 1.643994729742336838e-03 2.818862784695735968e+02
3.583233908933582275e-04 3.583233908933583360e-04 1.789533827487395931e-03 1.772845249545593497e-03 3.583233908933593117e-04 1.640716309633845869e-03 2.819105719102061016e+02
3.594577794973749432e-04 3.594577794973753768e-04 1.786927237996909076e-03 1.770365610525829851e-03 3.594577794973785210e-04 1.637414563945992999e-03 2.819348653508386064e+02
3.605917718451353356e-04 3.605917718451322456e-04 1.784304752126783392e-03 1.767873906060894815e-03 3.605917718451352814e-04 1.634088898817491475e-03 2.819591587914710544e+02
3.617253680909484248e-04 3.617253680909454975e-04 1.781665910790812980e-03 1.765369810234688292e-03 3.617253680909477743e-04 1.630738702138340374e-03 2.819834522321035593e+02
3.628585683890431083e-04 3.628585683890441383e-04 1.779010240035416163e-03 1.762852988268745567e-03 3.628585683890451683e-04 1.627363342826526876e-03 2.820077456727360641e+02
3.639913728935776477e-04 3.639913728935785693e-04 1.776337250421477837e-03 1.760323096233329734e-03 3.639913728935790572e-04 1.623962170066547495e-03 2.820320391133685121e+02
3.651237817586479089e-04 3.651237817586456321e-04 1.773646436363997920e-03 1.757779780751251957e-03 3.651237817586488305e-04 1.620534512503800113e-03 2.820563325540010169e+02
3.662557951382697436e-04 3.662557951382681173e-04 1.770937275427430201e-03 1.755222678676058353e-03 3.662557951382703941e-04 1.617079677386993502e-03 2.820806259946335217e+02
3.673874131863892351e-04 3.673874131863872293e-04 1.768209227582058854e-03 1.752651416759630747e-03 3.673874131863922167e-04 1.613596949665442766e-03 2.821049194352659697e+02
3.685186360568889325e-04 3.685186360568908841e-04 1.765461734412879539e-03 1.750065611293926803e-03 3.685186360568913177e-04 1.610085591030528370e-03 2.821292128758984745e+02
3.696494639035723465e-04 3.696494639035713165e-04 1.762694218272335082e-03 1.747464867738716390e-03 3.696494639035713165e-04 1.606544838897138285e-03 2.821535063165309793e+02
3.707798968801730567e-04 3.707798968801716472e-04 1.759906081390383466e-03 1.744848780334607927e-03 3.707798968801743035e-04 1.602973905334885126e-03 2.821777997571634273e+02
3.719099351403612713e-04 3.719099351403601871e-04 1.757096704917606583e-03 1.742216931676518043e-03 3.719099351403619760e-04 1.599371975918861388e-03 2.822020931977959322e+02
3.730395788377282684e-04 3.730395788377278347e-04 1.754265447916046345e-03 1.739568892290280222e-03 3.730395788377317921e-04 1.595738208529077010e-03 2.822263866384284370e+02
3.741688281257981598e-04 3.741688281257945278e-04 1.751411646277500293e-03 1.736904220167679062e-03 3.741688281257980514e-04 1.592071732063295424e-03 2.822506800790609418e+02
3.752976831580208980e-04 3.752976831580206812e-04 1.748534611579301680e-03 1.734222460284363682e-03 3.752976831580201933e-04 1.588371645077960546e-03 2.822749735196933898e+02
